|step|customer|age|gender|zipcodeOri|merchant|zipMerchant|category|amount|fraud
374387|119|'C1036903280'|'4'|'F'|'28007'|'M1888755466'|'28007'|'es_otherservices'|554.56|1
513749|158|'C1037161656'|'2'|'F'|'28007'|'M480139044'|'28007'|'es_health'|99.21|1
265182|88|'C1037622786'|'3'|'F'|'28007'|'M1649169323'|'28007'|'es_sportsandtoys'|556.08|1
1118|0|'C1038215695'|'4'|'M'|'28007'|'M2122776122'|'28007'|'es_home'|328.02|1
7389|3|'C1038215695'|'4'|'M'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|279.15|1
10468|4|'C1038215695'|'4'|'M'|'28007'|'M2011752106'|'28007'|'es_hotelservices'|77.87|1
75023|28|'C1038215695'|'4'|'M'|'28007'|'M495352832'|'28007'|'es_travel'|4241.7|1
79874|29|'C1038215695'|'4'|'M'|'28007'|'M1888755466'|'28007'|'es_otherservices'|314.25|1
349498|112|'C1038215695'|'4'|'M'|'28007'|'M1198415165'|'28007'|'es_wellnessandbeauty'|74.66|1
384312|122|'C1038215695'|'4'|'M'|'28007'|'M547558035'|'28007'|'es_fashion'|174.08|1
583114|176|'C1038215695'|'4'|'M'|'28007'|'M480139044'|'28007'|'es_health'|299.39|1
180694|62|'C1038277619'|'6'|'M'|'28007'|'M480139044'|'28007'|'es_health'|104.44|1
222465|75|'C1038277619'|'6'|'M'|'28007'|'M732195782'|'28007'|'es_travel'|5468.17|1
411972|130|'C1038277619'|'6'|'M'|'28007'|'M3697346'|'28007'|'es_leisure'|288.35|1
447686|140|'C1038277619'|'6'|'M'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|560.36|1
460607|143|'C1038277619'|'6'|'M'|'28007'|'M17379832'|'28007'|'es_sportsandtoys'|500.77|1
245419|82|'C1038329920'|'1'|'F'|'28007'|'M480139044'|'28007'|'es_health'|89.66|1
84007|31|'C1038722314'|'4'|'M'|'28007'|'M3697346'|'28007'|'es_leisure'|369.22|1
268188|89|'C1038722314'|'4'|'M'|'28007'|'M2011752106'|'28007'|'es_hotelservices'|296.45|1
170456|59|'C1038879380'|'2'|'F'|'28007'|'M2122776122'|'28007'|'es_home'|1151.77|1
479805|149|'C1039390058'|'4'|'M'|'28007'|'M855959430'|'28007'|'es_hyper'|123.93|1
266911|88|'C103995111'|'3'|'M'|'28007'|'M495352832'|'28007'|'es_travel'|4746.4|1
383753|122|'C1040303644'|'2'|'M'|'28007'|'M1888755466'|'28007'|'es_otherservices'|16.95|1
120072|43|'C1040405455'|'6'|'F'|'28007'|'M1741626453'|'28007'|'es_sportsandtoys'|55.36|1
46928|18|'C1045324088'|'2'|'F'|'28007'|'M855959430'|'28007'|'es_hyper'|52.95|1
214999|73|'C1045324088'|'2'|'F'|'28007'|'M1873032707'|'28007'|'es_hotelservices'|241.63|1
298771|98|'C1045324088'|'2'|'F'|'28007'|'M50039827'|'28007'|'es_health'|105.49|1
470514|146|'C1045324088'|'2'|'F'|'28007'|'M480139044'|'28007'|'es_health'|129.69|1
330861|107|'C1045652139'|'6'|'M'|'28007'|'M1198415165'|'28007'|'es_wellnessandbeauty'|125.53|1
120223|43|'C1045850211'|'3'|'M'|'28007'|'M480139044'|'28007'|'es_health'|855.66|1
268549|89|'C1045850211'|'3'|'M'|'28007'|'M732195782'|'28007'|'es_travel'|719.93|1
427516|134|'C1045850211'|'3'|'M'|'28007'|'M209847108'|'28007'|'es_wellnessandbeauty'|381.39|1
301935|99|'C1046896257'|'4'|'M'|'28007'|'M732195782'|'28007'|'es_travel'|869.23|1
330563|107|'C1046896257'|'4'|'M'|'28007'|'M480139044'|'28007'|'es_health'|33.24|1
424153|133|'C1046896257'|'4'|'M'|'28007'|'M480139044'|'28007'|'es_health'|382.9|1
482852|149|'C1046896257'|'4'|'M'|'28007'|'M480139044'|'28007'|'es_health'|608.72|1
590652|178|'C1046896257'|'4'|'M'|'28007'|'M1535107174'|'28007'|'es_wellnessandbeauty'|31.88|1
23512|9|'C1050458046'|'6'|'M'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|780.28|1
32559|12|'C1050458046'|'6'|'M'|'28007'|'M3697346'|'28007'|'es_leisure'|331.56|1
130633|46|'C1050458046'|'6'|'M'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|587.85|1
302152|99|'C1051356798'|'2'|'F'|'28007'|'M1198415165'|'28007'|'es_wellnessandbeauty'|156.52|1
174624|60|'C1051712338'|'4'|'M'|'28007'|'M480139044'|'28007'|'es_health'|773.41|1
241447|81|'C1051712338'|'4'|'M'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|260.04|1
386939|123|'C1051712338'|'4'|'M'|'28007'|'M1535107174'|'28007'|'es_wellnessandbeauty'|195.49|1
432432|136|'C1051712338'|'4'|'M'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|68.88|1
375611|120|'C1051985937'|'2'|'F'|'28007'|'M480139044'|'28007'|'es_health'|631.65|1
560473|170|'C1051985937'|'2'|'F'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|5.11|1
106200|38|'C1055224400'|'3'|'F'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|53.79|1
241180|81|'C1055224400'|'3'|'F'|'28007'|'M480139044'|'28007'|'es_health'|306.48|1
326527|106|'C1055224400'|'3'|'F'|'28007'|'M1748431652'|'28007'|'es_wellnessandbeauty'|118.07|1
495825|153|'C1055224400'|'3'|'F'|'28007'|'M480139044'|'28007'|'es_health'|672.64|1
547735|167|'C1055224400'|'3'|'F'|'28007'|'M855959430'|'28007'|'es_hyper'|47.13|1
336085|108|'C1056476734'|'2'|'M'|'28007'|'M209847108'|'28007'|'es_wellnessandbeauty'|202.3|1
360281|115|'C1057259459'|'3'|'F'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|372.23|1
55436|21|'C1057813963'|'2'|'F'|'28007'|'M480139044'|'28007'|'es_health'|1130.3|1
107095|38|'C1057813963'|'2'|'F'|'28007'|'M732195782'|'28007'|'es_travel'|149.22|1
501401|154|'C1058213633'|'2'|'M'|'28007'|'M3697346'|'28007'|'es_leisure'|319.79|1
245983|82|'C1058785965'|'2'|'F'|'28007'|'M1294758098'|'28007'|'es_leisure'|382.86|1
355075|114|'C1059874896'|'2'|'M'|'28007'|'M495352832'|'28007'|'es_travel'|3277.73|1
274066|91|'C1060270098'|'3'|'M'|'28007'|'M480139044'|'28007'|'es_health'|388.99|1
361207|116|'C1060270098'|'3'|'M'|'28007'|'M3697346'|'28007'|'es_leisure'|260.38|1
482135|149|'C1060270098'|'3'|'M'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|792.48|1
519988|159|'C1060270098'|'3'|'M'|'28007'|'M480139044'|'28007'|'es_health'|399.28|1
363946|116|'C1066003783'|'3'|'F'|'28007'|'M480139044'|'28007'|'es_health'|322.3|1
372161|119|'C1066003783'|'3'|'F'|'28007'|'M1888755466'|'28007'|'es_otherservices'|466.09|1
484986|150|'C1066003783'|'3'|'F'|'28007'|'M480139044'|'28007'|'es_health'|347.99|1
245982|82|'C1068772542'|'1'|'M'|'28007'|'M1294758098'|'28007'|'es_leisure'|310.62|1
52473|20|'C106931168'|'3'|'F'|'28007'|'M732195782'|'28007'|'es_travel'|3458.16|1
70527|26|'C106931168'|'3'|'F'|'28007'|'M480139044'|'28007'|'es_health'|261.64|1
222285|75|'C106931168'|'3'|'F'|'28007'|'M732195782'|'28007'|'es_travel'|791.09|1
456763|142|'C106931168'|'3'|'F'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|449.83|1
169336|59|'C1069635670'|'4'|'F'|'28007'|'M857378720'|'28007'|'es_hotelservices'|441.96|1
562818|171|'C1069635670'|'4'|'F'|'28007'|'M1353266412'|'28007'|'es_hotelservices'|12.28|1
417376|131|'C1069648311'|'2'|'M'|'28007'|'M1649169323'|'28007'|'es_sportsandtoys'|160.16|1
377187|120|'C1070277785'|'4'|'F'|'28007'|'M1198415165'|'28007'|'es_wellnessandbeauty'|300.58|1
389976|124|'C1070277785'|'4'|'F'|'28007'|'M1649169323'|'28007'|'es_sportsandtoys'|805.35|1
400461|127|'C1070277785'|'4'|'F'|'28007'|'M1353266412'|'28007'|'es_hotelservices'|467.84|1
455942|142|'C1070277785'|'4'|'F'|'28007'|'M1353266412'|'28007'|'es_hotelservices'|670.77|1
48423|18|'C1073865173'|'4'|'F'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|395.0|1
97827|35|'C1073865173'|'4'|'F'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|601.29|1
27649|10|'C1075787773'|'3'|'M'|'28007'|'M1294758098'|'28007'|'es_leisure'|167.48|1
107172|39|'C1076053396'|'4'|'M'|'28007'|'M480139044'|'28007'|'es_health'|768.7|1
186110|64|'C1076110991'|'2'|'M'|'28007'|'M547558035'|'28007'|'es_fashion'|325.62|1
351073|113|'C1076110991'|'2'|'M'|'28007'|'M840466850'|'28007'|'es_tech'|227.93|1
448416|140|'C1076110991'|'2'|'M'|'28007'|'M840466850'|'28007'|'es_tech'|639.88|1
259203|86|'C1078316853'|'2'|'F'|'28007'|'M732195782'|'28007'|'es_travel'|1876.33|1
213579|72|'C1078351181'|'2'|'F'|'28007'|'M1873032707'|'28007'|'es_hotelservices'|759.04|1
854|0|'C1079254393'|'1'|'F'|'28007'|'M480139044'|'28007'|'es_health'|520.5|1
2413|0|'C1079254393'|'1'|'F'|'28007'|'M480139044'|'28007'|'es_health'|908.5|1
2978|1|'C1079254393'|'1'|'F'|'28007'|'M3697346'|'28007'|'es_leisure'|352.7|1
3073|1|'C1079254393'|'1'|'F'|'28007'|'M480139044'|'28007'|'es_health'|905.54|1
5663|2|'C1079254393'|'1'|'F'|'28007'|'M923029380'|'28007'|'es_home'|29.82|1
6056|2|'C1079254393'|'1'|'F'|'28007'|'M1748431652'|'28007'|'es_wellnessandbeauty'|415.19|1
8441|3|'C1079254393'|'1'|'F'|'28007'|'M3697346'|'28007'|'es_leisure'|480.88|1
12378|5|'C1079254393'|'1'|'F'|'28007'|'M209847108'|'28007'|'es_wellnessandbeauty'|222.26|1
21805|8|'C1079254393'|'1'|'F'|'28007'|'M3697346'|'28007'|'es_leisure'|396.61|1
24853|9|'C1079254393'|'1'|'F'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|320.79|1
29908|11|'C1079254393'|'1'|'F'|'28007'|'M151143676'|'28007'|'es_barsandrestaurants'|238.37|1
37517|14|'C1079254393'|'1'|'F'|'28007'|'M480139044'|'28007'|'es_health'|117.14|1
41538|16|'C1079254393'|'1'|'F'|'28007'|'M855959430'|'28007'|'es_hyper'|78.51|1
53987|20|'C1079254393'|'1'|'F'|'28007'|'M547558035'|'28007'|'es_fashion'|178.31|1
65700|24|'C1079254393'|'1'|'F'|'28007'|'M3697346'|'28007'|'es_leisure'|218.82|1
72319|27|'C1079254393'|'1'|'F'|'28007'|'M480139044'|'28007'|'es_health'|773.04|1
87238|32|'C1079254393'|'1'|'F'|'28007'|'M1888755466'|'28007'|'es_otherservices'|558.07|1
94999|34|'C1079254393'|'1'|'F'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|497.36|1
170187|59|'C1079254393'|'1'|'F'|'28007'|'M2011752106'|'28007'|'es_hotelservices'|437.79|1
192762|66|'C1079254393'|'1'|'F'|'28007'|'M1649169323'|'28007'|'es_sportsandtoys'|204.38|1
199770|68|'C1079254393'|'1'|'F'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|142.87|1
215188|73|'C1079254393'|'1'|'F'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|60.68|1
255080|85|'C1079254393'|'1'|'F'|'28007'|'M480139044'|'28007'|'es_health'|644.29|1
418771|132|'C1079254393'|'1'|'F'|'28007'|'M840466850'|'28007'|'es_tech'|461.05|1
26099|10|'C1080032135'|'6'|'F'|'28007'|'M1198415165'|'28007'|'es_wellnessandbeauty'|446.06|1
32904|12|'C1080032135'|'6'|'F'|'28007'|'M2122776122'|'28007'|'es_home'|846.61|1
88029|32|'C1080032135'|'6'|'F'|'28007'|'M17379832'|'28007'|'es_sportsandtoys'|1021.6|1
118868|42|'C1080032135'|'6'|'F'|'28007'|'M1888755466'|'28007'|'es_otherservices'|64.66|1
132862|47|'C1080032135'|'6'|'F'|'28007'|'M855959430'|'28007'|'es_hyper'|160.61|1
140757|50|'C1080032135'|'6'|'F'|'28007'|'M1888755466'|'28007'|'es_otherservices'|392.63|1
213262|72|'C1080032135'|'6'|'F'|'28007'|'M480139044'|'28007'|'es_health'|645.66|1
355763|114|'C1080032135'|'6'|'F'|'28007'|'M1198415165'|'28007'|'es_wellnessandbeauty'|262.18|1
463039|144|'C1080032135'|'6'|'F'|'28007'|'M480139044'|'28007'|'es_health'|185.72|1
467205|145|'C1080813886'|'4'|'M'|'28007'|'M1873032707'|'28007'|'es_hotelservices'|349.98|1
526204|161|'C1080813886'|'4'|'M'|'28007'|'M3697346'|'28007'|'es_leisure'|246.07|1
189698|65|'C1082301057'|'3'|'F'|'28007'|'M1294758098'|'28007'|'es_leisure'|283.88|1
206939|70|'C1082301057'|'3'|'F'|'28007'|'M3697346'|'28007'|'es_leisure'|300.56|1
298772|98|'C1082301057'|'3'|'F'|'28007'|'M50039827'|'28007'|'es_health'|261.64|1
514507|158|'C1082594377'|'2'|'F'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|169.54|1
581484|176|'C1082594377'|'2'|'F'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|13.47|1
243110|81|'C1082769360'|'4'|'M'|'28007'|'M1888755466'|'28007'|'es_otherservices'|805.52|1
444317|139|'C1084001812'|'2'|'M'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|124.72|1
466871|145|'C1084001812'|'2'|'M'|'28007'|'M855959430'|'28007'|'es_hyper'|36.94|1
548081|167|'C1084001812'|'2'|'M'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|371.39|1
40092|15|'C1085056650'|'1'|'F'|'28007'|'M732195782'|'28007'|'es_travel'|813.14|1
82448|30|'C1085056650'|'1'|'F'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|51.79|1
229601|77|'C1085056650'|'1'|'F'|'28007'|'M3697346'|'28007'|'es_leisure'|154.59|1
248822|83|'C1087227796'|'2'|'M'|'28007'|'M480139044'|'28007'|'es_health'|76.8|1
339406|109|'C1087227796'|'2'|'M'|'28007'|'M480139044'|'28007'|'es_health'|709.36|1
358602|115|'C1092769857'|'5'|'F'|'28007'|'M732195782'|'28007'|'es_travel'|2620.43|1
390635|124|'C1092769857'|'5'|'F'|'28007'|'M1741626453'|'28007'|'es_sportsandtoys'|61.75|1
397705|126|'C1092769857'|'5'|'F'|'28007'|'M1888755466'|'28007'|'es_otherservices'|58.23|1
233705|79|'C1096642744'|'5'|'M'|'28007'|'M480139044'|'28007'|'es_health'|300.44|1
347351|112|'C1100289413'|'3'|'M'|'28007'|'M1535107174'|'28007'|'es_wellnessandbeauty'|50.64|1
460845|143|'C1100289413'|'3'|'M'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|337.03|1
349330|112|'C1100361227'|'4'|'F'|'28007'|'M151143676'|'28007'|'es_barsandrestaurants'|65.72|1
76179|28|'C1100570635'|'4'|'F'|'28007'|'M209847108'|'28007'|'es_wellnessandbeauty'|244.8|1
216559|73|'C1100570635'|'4'|'F'|'28007'|'M1198415165'|'28007'|'es_wellnessandbeauty'|57.11|1
397384|126|'C1101433185'|'2'|'F'|'28007'|'M2122776122'|'28007'|'es_home'|107.22|1
511378|157|'C1101433185'|'2'|'F'|'28007'|'M480139044'|'28007'|'es_health'|29.0|1
35031|13|'C1101633489'|'1'|'F'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|109.52|1
37516|14|'C1101633489'|'1'|'F'|'28007'|'M480139044'|'28007'|'es_health'|91.85|1
479641|148|'C1101633489'|'1'|'F'|'28007'|'M3697346'|'28007'|'es_leisure'|137.86|1
518422|159|'C1101633489'|'1'|'F'|'28007'|'M1535107174'|'28007'|'es_wellnessandbeauty'|163.47|1
523219|160|'C1101633489'|'1'|'F'|'28007'|'M2122776122'|'28007'|'es_home'|225.51|1
243360|81|'C1107442215'|'2'|'F'|'28007'|'M480139044'|'28007'|'es_health'|77.66|1
318936|104|'C1107442215'|'2'|'F'|'28007'|'M480139044'|'28007'|'es_health'|39.91|1
463294|144|'C1107442215'|'2'|'F'|'28007'|'M1198415165'|'28007'|'es_wellnessandbeauty'|552.48|1
239709|80|'C1108787528'|'5'|'M'|'28007'|'M2122776122'|'28007'|'es_home'|606.74|1
400373|127|'C1110919755'|'1'|'F'|'28007'|'M3697346'|'28007'|'es_leisure'|340.65|1
68614|25|'C111217068'|'1'|'F'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|237.8|1
71126|26|'C1112424232'|'3'|'F'|'28007'|'M732195782'|'28007'|'es_travel'|507.87|1
106730|38|'C1112424232'|'3'|'F'|'28007'|'M480139044'|'28007'|'es_health'|313.0|1
119635|43|'C1112424232'|'3'|'F'|'28007'|'M732195782'|'28007'|'es_travel'|1771.06|1
125194|44|'C1112424232'|'3'|'F'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|637.31|1
220079|74|'C1112424232'|'3'|'F'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|212.1|1
363947|116|'C111678629'|'4'|'M'|'28007'|'M480139044'|'28007'|'es_health'|477.2|1
368335|118|'C111678629'|'4'|'M'|'28007'|'M480139044'|'28007'|'es_health'|1018.29|1
348029|112|'C1117403153'|'5'|'F'|'28007'|'M547558035'|'28007'|'es_fashion'|61.61|1
